店,SKU,销售额万,牛肉%,套餐%,饮品%,现烤串万,鸭屎香万,至尊七宝万,和牛万,升位四类%
圣地大厦店,240,674.7,60.4,21.6,2.93,8.2,8.5,4.1,3.1,3.54
陈家祠店,201,673.4,59.4,23.9,2.28,10.9,7.2,5.9,8.2,4.77
万象食家店,188,569.3,60.7,20.3,2.55,12.0,8.1,9.4,5.7,6.2
花都融创茂店,225,477.0,56.8,25.6,2.34,7.6,6.9,4.1,4.3,4.79
富力海珠城店,213,472.9,61.0,22.5,2.0,6.7,5.9,4.9,4.3,4.6
乐峰广场店,210,472.5,60.5,23.0,1.65,6.1,4.9,3.0,5.2,4.07
千灯湖环宇城店,228,464.3,62.6,18.9,2.0,7.6,5.8,5.6,6.1,5.42
万象滨海购物村店,200,452.1,54.5,27.3,2.72,9.1,6.6,5.3,0.0,4.66
番禺永旺店,212,449.5,59.8,24.0,1.67,5.8,5.3,2.8,0.5,3.21
东方新世界店,227,428.7,60.4,21.5,1.82,5.6,4.5,3.1,4.5,4.11
