菜品名称,门店数,销量,销售额,均价,主食材,主辅佐引,原始分类,工业采购饮料,累计销售额占比%
潮发4人餐,10,24796,7959516.0,321.0,线上套餐,辅,线上套餐,否,15.5
鲜牛丸2人餐,10,33817,6002517.5,177.5,牛肉,辅,线上套餐,否,27.19
吊龙肉（半斤）,10,25174,2013920.0,80.0,牛肉,主,斤选牛肉,否,31.12
吊龙肉（涮12秒）,10,51230,1946740.0,38.0,牛肉,主,自家鲜牛肉,否,34.91
自助酱料费,10,296326,1777956.0,6.0,其他,,其他,否,38.37
牛骨清汤,10,81071,1621420.0,20.0,必点锅底,辅,必点锅底,否,41.53
嫩牛肉（涮12秒）,10,45648,1337298.0,29.0,牛肉,主,自家鲜牛肉,否,44.13
至尊套餐不参与其他优惠,10,4222,1215936.0,288.0,线下套餐,辅,线下套餐,否,46.5
潮發2人餐不参与其他优惠,10,6300,1171800.0,186.0,线下套餐,辅,线下套餐,否,48.78
雪花肉（半斤）,10,10701,1127245.0,105.0,牛肉,主,斤选牛肉,否,50.98
嫩牛肉（半斤）,10,15421,1087075.0,70.0,牛肉,主,斤选牛肉,否,53.1
鲜丸套餐不参与其他优惠（广佛）,9,7312,1082176.0,148.0,线下套餐,辅,线下套餐,否,55.2
雪花肉（涮16秒）,10,25351,1064742.0,42.0,牛肉,主,自家鲜牛肉,否,57.28
肥牛肉（涮16秒）,10,31691,1055151.0,33.0,牛肉,主,自家鲜牛肉,否,59.33
三花趾（涮12秒）,10,23201,907085.0,39.0,牛肉,主,自家鲜牛肉,否,61.1
牛胸口油（涮30秒）,10,24144,875036.0,36.0,牛肉,主,自家鲜牛肉,否,62.8
匙仁肉（涮12秒）,10,22894,869972.0,38.0,牛肉,主,自家鲜牛肉,否,64.5
五花趾（涮12秒）,10,19229,807618.0,42.0,牛肉,主,自家鲜牛肉,否,66.07
肥牛肉（半斤）,10,9523,761840.0,80.0,牛肉,主,斤选牛肉,否,67.56
匙仁肉（半斤）,10,8609,731765.0,85.0,牛肉,主,斤选牛肉,否,68.98
匙柄肉（涮12秒）,10,18597,706686.0,38.0,牛肉,主,自家鲜牛肉,否,70.36
三花趾（半斤）,10,7866,668610.0,85.0,牛肉,主,斤选牛肉,否,71.66
生牛丸（煮10分钟）份,10,20754,668058.0,32.0,牛肉,主,自家鲜牛肉,否,72.96
湿炒牛肉粿条,9,19668,629376.0,32.0,牛肉,引,主食,否,74.19
牛百叶（涮10秒）,10,14755,531180.0,36.0,牛肉,辅,牛丸牛杂,否,75.22
现烤鲜牛肉串,10,50851,522450.0,10.0,牛肉,主,自家鲜牛肉串,否,76.24
时蔬,10,51755,483414.0,9.0,蔬菜及配菜,佐,营养配菜,否,77.18
至尊七宝,10,1798,481864.0,268.0,牛肉,主,自家鲜牛肉,否,78.12
匙柄肉（半斤）,10,5354,455090.0,85.0,牛肉,主,斤选牛肉,否,79.01
鸭屎香柠檬茶,10,66111,436332.6,6.6,自制茶饮,引,饮品啤酒白酒洋酒,否,79.86
牛舌（涮12秒）,10,11021,418798.0,38.0,牛肉,主,自家鲜牛肉,否,80.67
双层肉（涮16秒）,10,11442,411912.0,36.0,牛肉,主,自家鲜牛肉,否,81.47
生牛丸（煮10分钟）半份,10,22044,357446.0,16.0,牛肉,主,自家鲜牛肉,否,82.17
七彩缤纷拼盘,10,9248,276375.0,29.0,蔬菜及配菜,佐,营养配菜,否,82.71
至尊牛丸（煮5分钟）份,10,7803,265302.0,34.0,牛肉,辅,牛丸牛杂,否,83.22
云南菌菇拼盘.（煮8分钟）,10,4988,239424.0,48.0,蔬菜及配菜,佐,营养配菜,否,83.69
F1 鲜和牛,9,5963,237923.7,39.9,牛肉,主,自家鲜牛肉,否,84.15
粿条,10,35909,236999.4,6.6,米面,引,主食,否,84.62
双层肉（半斤）,10,2647,211760.0,80.0,牛肉,主,斤选牛肉,否,85.03
炸腐竹,10,13237,207170.0,15.0,蔬菜及配菜,佐,营养配菜,否,85.43
有嚼劲的金钱肚（煮2分钟）,10,5804,203809.0,35.0,牛肉,辅,牛丸牛杂,否,85.83
8秒海带苗,10,20479,202742.1,9.9,蔬菜及配菜,佐,营养配菜,否,86.22
吊龙肉（半斤）.,10,2503,200240.0,80.0,牛肉,主,自营斤选牛肉,否,86.61
鸭屎香柠檬茶*2杯,10,14953,197379.6,13.2,自制茶饮,引,饮品啤酒白酒洋酒,否,87.0
现烤胸口油串,10,20928,190691.0,9.0,牛肉,主,自家鲜牛肉串,否,87.37
干炒牛肉粿条,2,5773,184736.0,32.0,牛肉,引,主食,否,87.73
F1 鲜和牛（半斤）,9,1844,180712.0,98.0,牛肉,主,斤选牛肉,否,88.08
牛骨髓（煮2分钟）,10,4627,175826.0,38.0,牛肉,辅,牛丸牛杂,否,88.42
水果玉米,10,12014,170871.0,13.8,蔬菜及配菜,佐,营养配菜,否,88.76
鸳鸯锅底,10,3475,166800.0,48.0,必点锅底,辅,必点锅底,否,89.08
麻辣大满贯冒菜(配米饭),6,4148,165505.2,39.9,米面,辅,外卖套餐,否,89.4
牛大力牛骨清汤,10,5066,151980.0,30.0,必点锅底,辅,必点锅底,否,89.7
牛筋（煮2分钟）,10,4158,149688.0,36.0,牛肉,辅,牛丸牛杂,否,89.99
非遗黑豆花,10,8764,142930.0,16.0,蔬菜及配菜,佐,营养配菜,否,90.27
牛丸（煮4分钟）份,10,4764,138764.0,29.0,牛肉,辅,牛丸牛杂,否,90.54
贝贝小南瓜,10,8206,133372.0,16.0,蔬菜及配菜,佐,营养配菜,否,90.8
嫩牛肉（半斤）.,10,1893,133070.0,70.0,牛肉,主,自营斤选牛肉,否,91.06
云南牛肝菌（煮8分钟）,10,5914,130108.0,22.0,蔬菜及配菜,佐,营养配菜,否,91.31
手工鲜腐竹,10,8048,128768.0,16.0,蔬菜及配菜,佐,营养配菜,否,91.56
牛心顶（黄喉）（涮30秒）,10,3775,128350.0,34.0,牛肉,辅,牛丸牛杂,否,91.81
牛杂（煮2分钟）,10,4277,128310.0,30.0,牛肉,辅,牛丸牛杂,否,92.06
牛油辣搭清汤锅,5,2161,108548.0,48.0,必点锅底,辅,必点锅底,否,92.27
【2人火锅套餐】牛气冲天（无电锅）,9,605,106480.0,176.0,外卖套餐,,外卖套餐,否,92.48
【双人套餐】牛肉至尊（至尊牛丸+肥牛+吊龙）,10,802,103458.0,129.0,牛肉,辅,外卖套餐,否,92.68
牛丸（煮4分钟）半份,10,5337,102216.0,19.0,牛肉,辅,牛丸牛杂,否,92.88
牛腩（煮2分钟）,10,3124,99968.0,32.0,牛肉,辅,牛丸牛杂,否,93.08
牛粉肠（煮2分钟）,10,3280,95120.0,29.0,牛肉,辅,牛丸牛杂,否,93.26
食在广州酸奶,10,5952,89280.0,15.0,华农原实酸奶,,华农原实酸奶,是,93.44
潮宝矿泉水锅底,10,4796,87676.0,18.0,必点锅底,辅,必点锅底,否,93.61
湿炒牛肉粿条+可乐套餐,8,1670,86840.0,52.0,牛肉,辅,外卖套餐,否,93.78
金针菇,10,5864,83250.0,13.8,蔬菜及配菜,佐,营养配菜,否,93.94
现烤牛肉丸串,10,15880,82458.5,5.0,牛肉,主,自家鲜牛肉串,否,94.1
铁棍淮山,10,6569,81417.0,12.0,蔬菜及配菜,佐,营养配菜,否,94.26
潮汕鲜面,10,11881,80537.0,6.6,米面,引,主食,否,94.41
青笋片,10,5197,80106.0,15.0,蔬菜及配菜,佐,营养配菜,否,94.57
头水紫菜份,10,4915,78640.0,16.0,蔬菜及配菜,佐,营养配菜,否,94.72
萝卜,10,9376,77260.0,8.0,蔬菜及配菜,佐,营养配菜,否,94.87
吊龙肉（涮12秒）.,10,2005,76190.0,38.0,牛肉,主,自营鲜牛肉,否,95.02
麻辣大满贯冒菜（配米饭）+雪碧,6,1764,75675.6,42.9,米面,辅,外卖套餐,否,95.17
百威瓶装500ml,5,7158,71580.0,10.0,饮品啤酒白酒洋酒,,饮品啤酒白酒洋酒,是,95.31
匙仁肉（半斤）.,10,830,70550.0,85.0,牛肉,主,自营斤选牛肉,否,95.45
鲜丸套餐不参与其他优惠（深圳）,1,447,69732.0,156.0,线下套餐,辅,线下套餐,否,95.58
幸运蟹皇面,10,9971,69388.8,6.6,米面,引,主食,否,95.72
潮汕普宁豆干,10,4599,64940.4,13.8,蔬菜及配菜,佐,营养配菜,否,95.84
【4人火锅套餐】鲜牛到家（无电锅）,9,208,64064.0,308.0,外卖套餐,,外卖套餐,否,95.97
白玉珍珠苦瓜,10,3783,60528.0,16.0,蔬菜及配菜,佐,营养配菜,否,96.09
头水紫菜半份,10,7488,59904.0,8.0,蔬菜及配菜,佐,营养配菜,否,96.2
肥牛肉（半斤）.,10,748,59840.0,80.0,牛肉,主,自营斤选牛肉,否,96.32
面筋,10,3914,59075.0,15.0,米面,佐,营养配菜,否,96.43
雪花肉（半斤）.,10,546,57340.0,105.0,牛肉,主,自营斤选牛肉,否,96.55
五常大米饭,10,56576,56576.0,1.0,米面,引,主食,否,96.66
