month,customers,repurchase_customers,repurchase_rate,order_count,门店
2026-05,97,22,0.226804,128,01-东莞-万象滨海购物村店
2026-06,76,13,0.171053,95,01-东莞-万象滨海购物村店
2026-07,78,16,0.205128,101,01-东莞-万象滨海购物村店
2026-05,213,81,0.380282,368,02-深圳-万象食家店
2026-06,172,70,0.406977,282,02-深圳-万象食家店
2026-07,168,58,0.345238,253,02-深圳-万象食家店
2026-05,202,45,0.222772,261,03-广州-东方新世界店
2026-06,170,50,0.294118,240,03-广州-东方新世界店
2026-07,128,31,0.242188,173,03-广州-东方新世界店
2026-05,165,43,0.260606,228,04-广州-乐峰广场店
2026-06,150,33,0.22,203,04-广州-乐峰广场店
2026-07,130,33,0.253846,185,04-广州-乐峰广场店
2026-05,166,53,0.319277,263,05-佛山-千灯湖环宇城店
2026-06,173,55,0.317919,267,05-佛山-千灯湖环宇城店
2026-07,133,39,0.293233,213,05-佛山-千灯湖环宇城店
2026-05,182,53,0.291209,271,06-广州-圣地大厦店
2026-06,158,37,0.234177,223,06-广州-圣地大厦店
2026-07,146,42,0.287671,227,06-广州-圣地大厦店
2026-05,144,45,0.3125,205,07-广州-富力海珠城店
2026-06,130,28,0.215385,170,07-广州-富力海珠城店
2026-07,117,28,0.239316,154,07-广州-富力海珠城店
2026-05,126,28,0.222222,164,08-广州-番禺永旺店
2026-06,96,26,0.270833,133,08-广州-番禺永旺店
2026-07,107,22,0.205607,132,08-广州-番禺永旺店
2026-05,149,37,0.248322,204,09-广州-花都融创茂店
2026-06,116,17,0.146552,137,09-广州-花都融创茂店
2026-07,115,24,0.208696,156,09-广州-花都融创茂店
2026-05,187,62,0.331551,275,10-广州-陈家祠店
2026-06,154,43,0.279221,211,10-广州-陈家祠店
2026-07,134,41,0.30597,194,10-广州-陈家祠店
