门店,会员数,复购会员,复购率,订单数,频次1占比,频次2占比,频次3占比,频次4+占比
01-东莞-万象滨海购物村店,190,75,0.3947,324,0.6053,0.2158,0.1368,0.0421
02-深圳-万象食家店,338,200,0.5917,903,0.4083,0.1982,0.142,0.2515
03-广州-东方新世界店,335,160,0.4776,674,0.5224,0.2328,0.1194,0.1254
04-广州-乐峰广场店,303,138,0.4554,616,0.5446,0.231,0.0957,0.1287
05-佛山-千灯湖环宇城店,310,160,0.5161,743,0.4839,0.2419,0.1129,0.1613
06-广州-圣地大厦店,330,149,0.4515,721,0.5485,0.2061,0.1091,0.1364
07-广州-富力海珠城店,270,133,0.4926,529,0.5074,0.263,0.1,0.1296
08-广州-番禺永旺店,236,100,0.4237,429,0.5763,0.1949,0.1441,0.0847
09-广州-花都融创茂店,277,105,0.3791,497,0.6209,0.1841,0.1047,0.0903
10-广州-陈家祠店,327,153,0.4679,680,0.5321,0.1713,0.159,0.1376
