origin_label,店铺名称,品牌,距离m,平均消费,店铺评分,评论数,点评榜单,地址
东方新世界店,潮鼎香潮汕鲜牛肉粿条,潮鼎香潮汕鲜牛肉粿条,97.0,18.0,3.9,23,,中山大道西140号
东方新世界店,潮汕鲜牛肉,潮汕鲜牛肉,361.0,19.0,,0,,天园街道黄埔大道员村段(天河公园地铁站E1口步行310米)
东方新世界店,許超犇牛肉(上社店),許超犇牛肉,812.0,26.0,3.5,4,,棠下上社市场许超犇牛肉店
东方新世界店,一头鲜牛潮汕牛肉火锅·卤水火锅(上社店),一头鲜牛潮汕牛肉火锅·卤水火锅,834.0,62.0,3.7,1759,,枫叶路2号之一202铺
东方新世界店,品真牛途潮汕牛肉火锅(天河公园店),品真牛途潮汕牛肉火锅,1032.0,64.0,4.0,976,天河公园/上社火锅打卡人气榜 · 第3名,中山大道西275号102
乐峰广场店,骉Biao美式熏牛肉,骉Biao美式熏牛肉,44.0,0.0,,0,,沙园街道
乐峰广场店,小彬乐潮汕牛肉小火锅(沙园京东店),小彬乐潮汕牛肉小火锅,144.0,44.0,3.9,14,广州潮汕牛肉火锅新店榜 · 第1名,沙园街道工业大道北110号(乐峰广场、沙园地铁B出口旁)
乐峰广场店,顺和潮汕牛肉店,顺和潮汕牛肉店,563.0,58.0,3.9,31,,沙园西华市场F12档
乐峰广场店,潮前方潮汕牛肉粿(光大花园店),潮前方潮汕牛肉粿,583.0,47.0,3.9,400,,革新路225号103门店（光大花园2期内）
乐峰广场店,漫城烟火减脂潮汕牛肉饭(海珠区店),漫城烟火减脂潮汕牛肉饭,708.0,0.0,,0,,海珠区宝业路与荔宝街交叉口西北180米
圣地大厦店,现切贵州黄牛肉,现切贵州黄牛肉,322.0,,,0,,京溪街道京溪村京溪大街1号首层1楼101铺
圣地大厦店,潮合牛肉火锅(梅花园店),潮合牛肉火锅,669.0,57.0,4.7,1597,同和/京溪潮汕牛肉火锅好评榜 · 第2名,"京溪街道怡新路21号(梅花园地铁口B出口对面,近怡新花园)"
圣地大厦店,海银海记潮汕牛肉火锅(广垦1号店),海银海记潮汕牛肉火锅,821.0,69.0,4.6,1310,沙河/天平架/梅花园火锅好评榜 · 第2名,怡新路202号
圣地大厦店,广州潮式探牛餐饮,广州潮式探牛餐饮,872.0,0.0,,0,,怡新路202号
圣地大厦店,潮客林·桐坑阿雄牛肉店(同和店),潮客林·桐坑阿雄牛肉店,880.0,50.0,4.0,2618,嘉裕太阳城美食打卡人气榜 · 第1名,广州大道北1811号
圣地大厦店,C牛自助火锅·全牛宴(南方店),C牛自助火锅·全牛宴,908.0,72.0,4.1,155,同和/京溪潮汕牛肉火锅热门榜 · 第1名,京溪街道京溪路208号之一至之十首、二层之一101铺（天景大厦）
富力海珠城店,正宗林先生潮汕桐坑牛肉火锅(江南西店),正宗林先生潮汕桐坑牛肉火锅,257.0,48.0,4.2,283,海珠区潮汕牛肉火锅销量榜 · 第10名,江南西路紫丹大街50号之2（江南西地铁站出入口步行300米）
富力海珠城店,八合里潮汕鲜牛肉火锅(广州昌岗店),八合里潮汕鲜牛肉火锅,511.0,77.0,4.6,3122,江南大道沿线火锅打卡人气榜 · 第1名,昌岗东路207-L209铺（昌岗地铁站c1出口上二楼）
富力海珠城店,海银海记潮汕牛肉火锅(江南西市二宫店),海银海记潮汕牛肉火锅,841.0,64.0,4.3,3854,海珠区潮汕牛肉火锅好评榜 · 第8名,前进路38号君朗时光里创意园
富力海珠城店,漫城烟火减脂潮汕牛肉饭(海珠区店),漫城烟火减脂潮汕牛肉饭,1049.0,0.0,,0,,海珠区宝业路与荔宝街交叉口西北180米
富力海珠城店,黄记天天鲜牛肉,黄记天天鲜牛肉,1053.0,32.0,3.9,21,,昌岗街道江南大道南(昌岗地铁站A口步行250米)
富力海珠城店,粤潮牛肉火锅店(江南大道店),粤潮牛肉火锅店,1119.0,79.0,4.6,3737,海珠区潮汕牛肉火锅口味榜 · 第7名,海幢街道江南大道中84号(近新疆证券大厦)
富力海珠城店,顺和潮汕牛肉店,顺和潮汕牛肉店,1134.0,58.0,3.9,31,,沙园西华市场F12档
富力海珠城店,伍潮牛肉火锅店,伍潮牛肉火锅店,1161.0,74.0,3.4,1,,南村路30号102铺
番禺永旺店,汕头光记牛肉(东景园店),汕头光记牛肉,539.0,22.0,3.8,21,,东豪路75号石碁东怡新区(东豪路)
番禺永旺店,和记潮牛潮汕牛肉火锅(番禺店),和记潮牛潮汕牛肉火锅,605.0,67.0,3.6,47,,大龙街东怡新区东怡三街东11号
番禺永旺店,陈记顺和潮汕牛肉火锅(番禺广场星级店),陈记顺和潮汕牛肉火锅,676.0,82.0,4.7,2863,番禺广场火锅回头客榜 · 第2名,番禺大道磐基大厦一楼
番禺永旺店,顺顺潮汕牛肉店,顺顺潮汕牛肉店,1042.0,76.0,3.4,2,,云山大街与云山大街五巷交叉口西60米
番禺永旺店,腾源五洞牛肉(番禺华丰汇店),腾源五洞牛肉,1104.0,61.0,4.0,2812,市桥潮汕牛肉火锅热门榜 · 第1名,德兴南路番禺华丰汇
番禺永旺店,莱英铭康牛潮汕牛肉火锅(番禺广场店),莱英铭康牛潮汕牛肉火锅,1131.0,88.0,4.4,524,番禺广场火锅回头客榜 · 第8名,富怡路65号
花都融创茂店,粤胜记潮汕牛肉火锅(融创旗舰店),粤胜记潮汕牛肉火锅,124.0,89.0,4.0,276,花都区潮汕牛肉火锅打卡人气榜 · 第2名,"凤凰北路65号之二（融创2号门对面,1楼马路边）"
