品牌,店数,评论合计,人均中位,评分均,口味,环境,服务,食材,上榜数,榜首数,全天店
潮发潮汕牛肉店,73,149149,91.0,4.8,4.81,4.78,4.81,4.71,66,62,6
陈记顺和潮汕牛肉火锅,21,77965,80.0,4.51,4.51,4.5,4.5,4.47,21,10,1
八合里潮汕鲜牛肉火锅,21,83241,80.0,4.75,4.75,4.71,4.74,4.59,19,18,0
海银海记潮汕牛肉火锅,12,30911,70.0,4.34,4.34,4.38,4.36,4.38,10,2,0
潮汕牛肉火锅,12,548,55.0,3.74,3.76,3.76,3.8,3.87,2,0,1
九亩地牛肉火锅,11,14324,88.0,4.7,4.7,4.66,4.73,4.59,11,7,0
福记潮呈潮汕牛肉,9,10904,74.0,4.23,4.23,4.26,4.26,4.29,9,2,0
潮汕牛肉店,7,31,20.0,3.53,3.53,3.5,3.53,3.57,0,0,1
莱英铭康牛潮汕牛肉火锅,6,1804,77.0,4.18,4.2,4.17,4.22,4.22,4,1,0
正宗黄牛肉馆,5,377,69.0,3.72,3.72,3.74,3.74,3.74,1,0,0
喜来潮家牛肉火锅,5,12537,77.0,4.36,4.42,4.4,4.4,4.48,5,1,0
