品牌,门店数,菜品,出现门店数,覆盖率%
潮发潮汕牛肉店,73,吊龙肉,73,100.0
潮发潮汕牛肉店,73,雪花肉,72,98.6
潮发潮汕牛肉店,73,鲜牛丸,71,97.3
潮发潮汕牛肉店,73,肥牛肉,71,97.3
潮发潮汕牛肉店,73,五花趾,69,94.5
潮发潮汕牛肉店,73,头水紫菜,69,94.5
潮发潮汕牛肉店,73,贝贝小南瓜,69,94.5
潮发潮汕牛肉店,73,牛肉火锅,63,86.3
潮发潮汕牛肉店,73,水果玉米,55,75.3
潮发潮汕牛肉店,73,匙柄,41,56.2
潮发潮汕牛肉店,73,匙仁肉,41,56.2
潮发潮汕牛肉店,73,胸口油,31,42.5
潮发潮汕牛肉店,73,双层肉,29,39.7
潮发潮汕牛肉店,73,牛舌,28,38.4
潮发潮汕牛肉店,73,三花趾,18,24.7
潮发潮汕牛肉店,73,嫩牛肉,11,15.1
潮发潮汕牛肉店,73,沙茶酱（罐装）,9,12.3
潮发潮汕牛肉店,73,和牛,2,2.7
潮发潮汕牛肉店,73,云南菌菇拼盘,2,2.7
潮发潮汕牛肉店,73,沙茶酱,2,2.7
潮发潮汕牛肉店,73,牛筋,2,2.7
潮发潮汕牛肉店,73,F1鲜和牛,2,2.7
潮发潮汕牛肉店,73,幸运蟹黄面,2,2.7
潮发潮汕牛肉店,73,牛骨清汤,2,2.7
潮发潮汕牛肉店,73,至尊牛丸,1,1.4
八合里潮汕鲜牛肉火锅,21,匙肉,19,90.5
八合里潮汕鲜牛肉火锅,21,精选嫩肉,19,90.5
八合里潮汕鲜牛肉火锅,21,吊龙伴,18,85.7
八合里潮汕鲜牛肉火锅,21,牛肉火锅,17,81.0
八合里潮汕鲜牛肉火锅,21,匙柄,16,76.2
八合里潮汕鲜牛肉火锅,21,招牌肥牛,16,76.2
八合里潮汕鲜牛肉火锅,21,三花趾,14,66.7
八合里潮汕鲜牛肉火锅,21,胸口朥,14,66.7
八合里潮汕鲜牛肉火锅,21,五花趾,14,66.7
八合里潮汕鲜牛肉火锅,21,熟牛肉丸,11,52.4
八合里潮汕鲜牛肉火锅,21,现炸腐皮卷,10,47.6
八合里潮汕鲜牛肉火锅,21,干炒牛河,9,42.9
八合里潮汕鲜牛肉火锅,21,至尊牛肉三拼,8,38.1
八合里潮汕鲜牛肉火锅,21,熟双拼丸,8,38.1
八合里潮汕鲜牛肉火锅,21,牛朴肉,8,38.1
八合里潮汕鲜牛肉火锅,21,双层肉,7,33.3
八合里潮汕鲜牛肉火锅,21,牛骨清汤锅底,6,28.6
八合里潮汕鲜牛肉火锅,21,河粉,6,28.6
八合里潮汕鲜牛肉火锅,21,玉米,6,28.6
八合里潮汕鲜牛肉火锅,21,湿炒牛河,6,28.6
八合里潮汕鲜牛肉火锅,21,大片毛肚,5,23.8
八合里潮汕鲜牛肉火锅,21,肥肉,4,19.0
八合里潮汕鲜牛肉火锅,21,牛骨清汤底,4,19.0
八合里潮汕鲜牛肉火锅,21,烤牛肉串,4,19.0
八合里潮汕鲜牛肉火锅,21,冰糖爆浆甜玉米,4,19.0
陈记顺和潮汕牛肉火锅,23,吊龙,21,91.3
陈记顺和潮汕牛肉火锅,23,嫩肉,19,82.6
陈记顺和潮汕牛肉火锅,23,牛肉火锅,18,78.3
陈记顺和潮汕牛肉火锅,23,五花趾,17,73.9
陈记顺和潮汕牛肉火锅,23,阳光番茄鸳鸯锅,14,60.9
陈记顺和潮汕牛肉火锅,23,顺和清汤锅,13,56.5
陈记顺和潮汕牛肉火锅,23,桂花柠檬茶,13,56.5
陈记顺和潮汕牛肉火锅,23,匙皮,13,56.5
陈记顺和潮汕牛肉火锅,23,一颗番茄牛肉泡饭,12,52.2
陈记顺和潮汕牛肉火锅,23,一颗番茄牛腩煲,12,52.2
陈记顺和潮汕牛肉火锅,23,肥胼,11,47.8
陈记顺和潮汕牛肉火锅,23,匙柄,11,47.8
陈记顺和潮汕牛肉火锅,23,三花趾,11,47.8
陈记顺和潮汕牛肉火锅,23,沙茶酱,11,47.8
陈记顺和潮汕牛肉火锅,23,胸口朥,10,43.5
陈记顺和潮汕牛肉火锅,23,牛肉牛筋丸,10,43.5
陈记顺和潮汕牛肉火锅,23,潮汕激香卤水锅涮鸭肠,8,34.8
陈记顺和潮汕牛肉火锅,23,特色鲜鱼腐,8,34.8
陈记顺和潮汕牛肉火锅,23,高原鲜牛肉,8,34.8
陈记顺和潮汕牛肉火锅,23,手锤牛肉丸,8,34.8
陈记顺和潮汕牛肉火锅,23,手捶牛丸,7,30.4
陈记顺和潮汕牛肉火锅,23,Q弹爆汁,7,30.4
陈记顺和潮汕牛肉火锅,23,肉粒多午餐肉,6,26.1
陈记顺和潮汕牛肉火锅,23,陈皮红豆沙,6,26.1
陈记顺和潮汕牛肉火锅,23,海带裙,6,26.1
海银海记潮汕牛肉火锅,12,肥牛,8,66.7
海银海记潮汕牛肉火锅,12,鲜切吊龙肉,8,66.7
海银海记潮汕牛肉火锅,12,嫩肉,7,58.3
海银海记潮汕牛肉火锅,12,杂菜拼盘,7,58.3
海银海记潮汕牛肉火锅,12,匙柄,7,58.3
海银海记潮汕牛肉火锅,12,潮汕粿条,7,58.3
海银海记潮汕牛肉火锅,12,花好月圆牛团圆,7,58.3
海银海记潮汕牛肉火锅,12,潮汕炸豆皮,6,50.0
海银海记潮汕牛肉火锅,12,吊龙肉,5,41.7
海银海记潮汕牛肉火锅,12,牛骨清汤锅底,5,41.7
海银海记潮汕牛肉火锅,12,娃娃菜,5,41.7
海银海记潮汕牛肉火锅,12,匙皮,4,33.3
海银海记潮汕牛肉火锅,12,吊龙心,4,33.3
海银海记潮汕牛肉火锅,12,鲜切牛肉,4,33.3
海银海记潮汕牛肉火锅,12,牛颈肉,4,33.3
海银海记潮汕牛肉火锅,12,蟹皇面,4,33.3
海银海记潮汕牛肉火锅,12,金针菇,3,25.0
海银海记潮汕牛肉火锅,12,冬瓜,3,25.0
海银海记潮汕牛肉火锅,12,潮汕鲜牛肉火锅,3,25.0
海银海记潮汕牛肉火锅,12,肥牛拼吊龙,3,25.0
海银海记潮汕牛肉火锅,12,匙仁,3,25.0
海银海记潮汕牛肉火锅,12,精品牛肉丸,3,25.0
海银海记潮汕牛肉火锅,12,脚趾肉,3,25.0
海银海记潮汕牛肉火锅,12,牛骨清汤锅,3,25.0
海银海记潮汕牛肉火锅,12,牛腩,3,25.0
九亩地牛肉火锅,12,新鲜时蔬,10,83.3
九亩地牛肉火锅,12,鲜牛肉,10,83.3
九亩地牛肉火锅,12,胸口油,9,75.0
九亩地牛肉火锅,12,手打虾滑,9,75.0
九亩地牛肉火锅,12,牛骨髓,8,66.7
九亩地牛肉火锅,12,鲜牛丸,8,66.7
九亩地牛肉火锅,12,牛肉火锅,7,58.3
九亩地牛肉火锅,12,潮汕粿条,7,58.3
九亩地牛肉火锅,12,凉拌鱼皮,7,58.3
九亩地牛肉火锅,12,鲜虾,7,58.3
九亩地牛肉火锅,12,金钱肚,6,50.0
九亩地牛肉火锅,12,霞浦手工紫菜,5,41.7
九亩地牛肉火锅,12,山东空运乳山生蚝,5,41.7
九亩地牛肉火锅,12,沙茶酱,5,41.7
九亩地牛肉火锅,12,大生蚝,5,41.7
九亩地牛肉火锅,12,海带苗,5,41.7
九亩地牛肉火锅,12,牛肉丸拼虾滑,5,41.7
九亩地牛肉火锅,12,至尊牛丸,4,33.3
九亩地牛肉火锅,12,海鲜档,4,33.3
九亩地牛肉火锅,12,南澳岛紫菜,4,33.3
九亩地牛肉火锅,12,鲜百叶,4,33.3
九亩地牛肉火锅,12,菌菇拼盘,4,33.3
九亩地牛肉火锅,12,头水紫菜,4,33.3
九亩地牛肉火锅,12,牛肝菌,4,33.3
九亩地牛肉火锅,12,手打鲜牛肉丸,3,25.0
