store_key,label,city,district,mall,lng,lat,poi_match,ring_poi_scope,ticket_n,dine_n,dine_pct,ticket_due,dine_med,party,card_n,card_due,card_med,card_users,card_ticket_pct,poi_name,poi_avg,poi_score,poi_reviews,poi_rank,poi_area,营业时间,营业时段带,商场店,明厨亮灶,推荐菜SKU数,票均,日均票,日均应收元
chenjiaci,陈家祠店,广州,荔湾区,扬韬科技广场,113.245633,23.124611,True,广州点评,27392,25001,91.3,6558355.0,231.0,2.51,701,190270.0,245.0,327,2.56,潮发潮汕牛肉店(陈家祠店),90.0,4.9,3194,广州潮汕牛肉火锅好评榜 · 第1名,中山七八路,周一至周日 全天,D 全天24h,False,False,12.0,239.4,298.0,71286.0
shengdi,圣地大厦店,广州,白云区,圣地大厦,113.321972,23.182085,True,广州点评,31950,22341,69.9,6432992.0,243.0,2.59,743,207487.0,237.0,330,2.33,潮发潮汕牛肉店(圣地大厦店),90.0,4.8,5381,同和/京溪火锅回头客榜 · 第1名,同和/京溪,周一至周日 全天,D 全天24h,True,False,9.0,201.3,347.0,69924.0
shijia,万象食家店,深圳,罗湖区,笋岗万象食家,114.1111,22.5621,False,缺深圳点评,20368,19404,95.3,5518944.0,252.0,2.51,919,272152.0,261.0,338,4.51,,,,,,,,,,,,271.0,221.0,59989.0
huadu,花都融创茂店,广州,花都区,融创茂,113.233231,23.428335,True,广州点评,18486,16774,90.7,4641070.0,246.0,2.59,504,138537.0,245.0,277,2.73,潮发潮汕牛肉店(花都融创茂店),89.0,4.9,1043,融创茂美食口味榜 · 第1名,融创茂,周一至周日 11:30-22:00,A ≤22:30,False,False,15.0,251.1,201.0,50446.0
lefeng,乐峰广场店,广州,海珠区,凯德乐峰广场,113.259564,23.088757,True,广州点评,19298,17835,92.4,4564019.0,225.0,2.44,638,168102.0,239.0,303,3.31,潮发潮汕牛肉店(乐峰广场店),88.0,4.8,2187,工业大道沿线火锅口味榜 · 第1名,工业大道沿线,周一至周日 11:30-22:00,A ≤22:30,True,False,9.0,236.5,210.0,49609.0
haizhu,富力海珠城店,广州,海珠区,富力海珠城,113.274341,23.095435,True,广州点评,19611,17432,88.9,4558697.0,227.0,2.43,538,165930.0,237.0,270,2.74,潮发潮汕牛肉店(富力海珠城店),91.0,4.8,2250,海珠区火锅口味榜 · 第1名,江南西,"周一至周日
11:30-02:00",C ≥00:00,False,False,13.0,232.5,213.0,49551.0
qiandenghu,千灯湖环宇城店,佛山,南海区,千灯湖环宇城,113.1415,23.0508,False,缺佛山点评,20996,17924,85.4,4469387.0,218.0,2.46,773,208092.0,243.0,310,3.68,,,,,,,,,,,,212.9,228.0,48580.0
binhai,万象滨海购物村店,东莞,滨海湾新区,万象滨海购物村,113.7428,22.7436,False,缺东莞点评,17757,14587,82.1,4340934.0,263.0,2.96,338,130068.0,292.0,190,1.9,,,,,,,,,,,,244.5,193.0,47184.0
panyu,番禺永旺店,广州,番禺区,永旺梦乐城番禺广场,113.388186,22.93645,True,广州点评,20065,16785,83.7,4333990.0,222.0,2.4,440,110739.0,222.0,236,2.19,潮发潮汕牛肉店(番禺永旺店),92.0,4.9,1338,番禺广场美食口味榜 · 第1名,番禺广场,周一至周日 11:00-22:00,A ≤22:30,False,False,14.0,216.0,218.0,47109.0
dongfang,东方新世界店,广州,天河区,东方新世界,113.359459,23.133669,True,广州点评,21879,14336,65.5,4066258.0,229.0,2.46,698,191658.0,239.0,335,3.19,潮发潮汕牛肉店(东方新世界店),88.0,4.8,1260,华景新城美食口味榜 · 第1名,华景新城,周一至周日 11:00-22:00,A ≤22:30,True,False,13.0,185.9,238.0,44198.0
