store_key,origin_label,origin_city,ring_poi_scope,ring,潮发,直接竞争,全国连锁,其他潮汕牛肉火锅,可参考,同价火锅70_130,椰子鸡,打边炉,正餐潮汕菜,圈内去重店数
binhai,万象滨海购物村店,东莞,缺东莞点评,500m,0,0,0,0,0,0,0,0,0,0
binhai,万象滨海购物村店,东莞,缺东莞点评,1km,0,0,0,0,0,0,0,0,0,0
binhai,万象滨海购物村店,东莞,缺东莞点评,3km,0,0,0,0,0,0,0,0,0,0
binhai,万象滨海购物村店,东莞,缺东莞点评,5km,0,0,0,0,0,0,0,0,0,0
chenjiaci,陈家祠店,广州,广州点评,500m,1,3,0,3,17,12,1,2,3,21
chenjiaci,陈家祠店,广州,广州点评,1km,1,9,2,9,49,35,2,3,7,59
chenjiaci,陈家祠店,广州,广州点评,3km,9,36,3,36,165,97,12,12,20,210
chenjiaci,陈家祠店,广州,广州点评,5km,15,86,8,86,337,189,23,27,56,438
dongfang,东方新世界店,广州,广州点评,500m,1,2,0,2,7,2,1,0,3,10
dongfang,东方新世界店,广州,广州点评,1km,1,4,0,4,14,4,2,0,6,19
dongfang,东方新世界店,广州,广州点评,3km,5,37,7,36,190,72,6,12,81,232
dongfang,东方新世界店,广州,广州点评,5km,15,93,22,92,422,182,27,19,160,530
haizhu,富力海珠城店,广州,广州点评,500m,1,1,0,1,13,10,1,1,0,15
haizhu,富力海珠城店,广州,广州点评,1km,1,3,2,3,27,18,1,3,4,31
haizhu,富力海珠城店,广州,广州点评,3km,9,46,3,46,153,88,10,13,28,208
haizhu,富力海珠城店,广州,广州点评,5km,18,109,14,108,442,246,23,29,99,569
huadu,花都融创茂店,广州,广州点评,500m,1,2,0,2,5,5,1,0,0,8
huadu,花都融创茂店,广州,广州点评,1km,1,6,0,6,5,5,1,0,0,12
huadu,花都融创茂店,广州,广州点评,3km,2,9,0,9,27,17,2,3,2,38
huadu,花都融创茂店,广州,广州点评,5km,4,34,0,34,106,54,5,14,14,144
lefeng,乐峰广场店,广州,广州点评,500m,1,2,0,2,13,7,1,1,3,16
lefeng,乐峰广场店,广州,广州点评,1km,1,5,0,5,25,16,1,1,3,31
lefeng,乐峰广场店,广州,广州点评,3km,4,34,3,34,134,84,5,10,19,172
lefeng,乐峰广场店,广州,广州点评,5km,16,98,9,98,356,211,19,27,66,470
panyu,番禺永旺店,广州,广州点评,500m,1,0,0,0,6,4,1,0,0,7
panyu,番禺永旺店,广州,广州点评,1km,1,3,1,3,10,6,1,0,1,14
panyu,番禺永旺店,广州,广州点评,3km,1,22,5,22,64,29,4,4,10,87
panyu,番禺永旺店,广州,广州点评,5km,2,40,7,40,113,56,8,5,18,155
qiandenghu,千灯湖环宇城店,佛山,缺佛山点评,500m,0,0,0,0,0,0,0,0,0,0
qiandenghu,千灯湖环宇城店,佛山,缺佛山点评,1km,0,0,0,0,0,0,0,0,0,0
qiandenghu,千灯湖环宇城店,佛山,缺佛山点评,3km,0,0,0,0,0,0,0,0,0,0
qiandenghu,千灯湖环宇城店,佛山,缺佛山点评,5km,0,0,0,0,1,0,0,0,0,1
shengdi,圣地大厦店,广州,广州点评,500m,1,1,0,1,9,6,3,0,0,11
shengdi,圣地大厦店,广州,广州点评,1km,1,6,1,6,24,14,3,1,4,31
shengdi,圣地大厦店,广州,广州点评,3km,2,29,4,29,86,37,6,1,24,117
shengdi,圣地大厦店,广州,广州点评,5km,8,61,8,61,180,77,14,7,58,249
shijia,万象食家店,深圳,缺深圳点评,500m,0,0,0,0,0,0,0,0,0,0
shijia,万象食家店,深圳,缺深圳点评,1km,0,0,0,0,0,0,0,0,0,0
shijia,万象食家店,深圳,缺深圳点评,3km,0,0,0,0,0,0,0,0,0,0
shijia,万象食家店,深圳,缺深圳点评,5km,0,0,0,0,0,0,0,0,0,0
